Default,checkingstatus1,duration,history,purpose,amount,savings,employ,status,others,residence,property,age,otherplans,housing,cards,job,liable,foreign,duration_missing,residence_missing,cards_missing,age_group,debt_duration_ratio
0,0,6.0,4,4,1169,4,4,2,0,4.0,0,67,2,1,2.0,2,1,0,0,0,0,3,167.0
1,1,48.0,2,4,5951,0,2,1,0,2.0,0,22,2,1,1.0,2,1,0,0,0,0,0,121.44897959183673
0,3,12.0,4,7,2096,0,3,2,0,3.0,0,49,2,1,1.0,1,2,0,0,0,0,2,161.23076923076923
0,0,42.0,2,3,7882,0,3,2,2,4.0,1,45,2,2,1.0,2,2,0,0,0,0,1,183.30232558139534
1,0,24.0,3,0,4870,0,2,2,0,4.0,3,53,2,2,2.0,2,2,0,0,0,0,2,194.8
0,3,36.0,2,7,9055,4,2,2,0,4.0,3,35,2,2,1.0,1,2,0,0,0,0,1,244.72972972972974
0,3,24.0,2,3,2835,2,4,2,0,4.0,1,53,2,1,1.0,2,1,0,0,0,0,2,113.4
0,1,36.0,2,1,6948,0,2,2,0,2.0,2,35,2,0,1.0,3,1,0,0,0,0,1,187.78378378378378
0,3,12.0,2,4,3059,3,3,0,0,4.0,0,61,2,1,1.0,1,1,0,0,0,0,3,235.30769230769232
1,1,30.0,4,0,5234,0,0,3,0,2.0,2,28,2,1,2.0,3,1,0,0,0,0,0,168.83870967741936
1,1,12.0,2,0,1295,0,1,1,0,1.0,2,25,2,0,1.0,2,1,0,0,0,0,0,99.61538461538461
1,0,48.0,2,9,4308,0,1,1,0,4.0,1,24,2,0,1.0,2,1,0,0,0,0,0,87.91836734693878
0,1,12.0,2,4,1567,0,2,1,0,1.0,2,22,2,1,1.0,2,1,0,0,0,0,0,120.53846153846153
1,0,24.0,4,0,1199,0,4,2,0,4.0,2,60,2,1,2.0,1,1,0,0,0,0,2,47.96
0,0,15.0,2,0,1403,0,2,1,0,4.0,2,28,2,0,1.0,2,1,0,0,0,0,0,87.6875
1,0,24.0,2,4,1282,1,2,1,0,2.0,2,32,2,1,1.0,1,1,0,0,0,0,1,51.28
0,3,24.0,4,4,2424,4,4,2,0,4.0,1,53,2,1,2.0,2,1,0,0,0,0,2,96.96
